Municipio,Nombre,2022,2023,2024,2025,2026
Chapala,Soluciones Martinez,14665466.36,14707527.68,10144839.48,5833370.07,
Etzatlan,Corporativo Soto S. de R.L.,,2796632.27,12353956.3,5964417.26,
Jocotepec,Grupo Pena S.A.,8192047.26,13645192.5,374547.82,8185632.93,4633062.2
Puerto Vallarta,Empresa Zepeda S. de R.L.,5883368.08,3923080.4,14059110.89,3584518.68,7971462.0
San Miguel el Alto,Comercializadora Soto S.C.,8304652.38,903704.5,11893729.44,6144500.19,14861729.5
La Huerta,Servicios Pena S. de R.L.,10662236.68,,382439.26,12567314.61,11039649.8
Zapopan,Industrias Hernandez,6900245.99,6880496.11,3764934.14,8125897.52,3770524.64
Tamazula de Gordiano,Distribuidora Diaz S.A.,10811219.2,10852284.69,13707860.54,754525.8,9959452.65
Ameca,Corporativo Montes,9152683.85,1290496.27,13612168.46,1069083.68,9358422.99
San Diego de Alejandria,Constructora Rios S.A.,10548309.43,4769003.73,6357306.1,9222801.62,4845801.77
Atemajac de Brizuela,Servicios Aguilar,4856387.73,,13744521.78,12526309.99,9744303.64
Chapala,Soluciones Fuentes S.A. de C.V.,7712826.32,9824370.99,6118029.77,1958910.38,9654056.48
Chapala,Grupo Fuentes S.R.L. de C.V.,6547493.15,13128715.91,6484857.72,14828816.01,7087330.65
El Arenal,Constructora Rivera S.C.,12011387.7,3714516.9,8772925.64,6666230.98,2441073.61
Canadas de Obregon,Grupo Ortega S.C.,12403551.43,10325145.74,,5870181.7,14079176.98
Mascota,Comercializadora Hernandez S. de R.L.,10195028.53,9092183.16,13044159.73,7910876.2,2892844.55
San Miguel el Alto,Corporativo Perez S.C.,11031219.25,9574745.94,13272183.4,10220001.26,13278979.69
Autlan de Navarro,Constructora Nunez S.A. de C.V.,4966145.48,9023426.76,11315922.05,2121110.07,11004315.26
San Gabriel,Inversiones Jimenez S.R.L. de C.V.,7007414.72,11594083.71,,2559839.96,1994708.02
Zapopan,Grupo Gutierrez S. de R.L.,5396534.38,6185775.72,203419.13,14374486.69,7949375.07
Ixtlahuacan del Rio,Constructora Hernandez S. de R.L.,13985810.33,,8263640.24,13206437.79,12476872.68
Tuxcueca,Distribuidora Ortega S.A. de C.V.,4491089.92,1686151.74,3558569.14,8154032.53,8974984.1
